Source_File,Date,Category,Item_No,Item_Description,Unit,City,Metric,Value
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Faisalabad,AVG,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Faisalabad,MAX,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Sargodha,MIN,100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Sargodha,AVG,100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Sargodha,MAX,100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Islamabad,MIN,1450.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Islamabad,AVG,1487.07
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Islamabad,MAX,1550.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Rawalpindi,MIN,1450.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Rawalpindi,AVG,1486.28
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Rawalpindi,MAX,1550.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Gujranwala,MIN,1100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Gujranwala,AVG,1100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Gujranwala,MAX,1100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Sialkot,MIN,1200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Sialkot,AVG,1200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Sialkot,MAX,1200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Lahore,MIN,1100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Lahore,AVG,1231.32
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Lahore,MAX,1300.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Faisalabad,MIN,1200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Faisalabad,AVG,1200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Faisalabad,MAX,1200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Sargodha,MIN,1100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Sargodha,AVG,1133.09
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,5,Beef with Bone (Average Quality),1 Kg,Sargodha,MAX,1150.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Islamabad,MIN,2700.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Islamabad,AVG,2765.97
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Islamabad,MAX,2900.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Rawalpindi,MIN,2600.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Rawalpindi,AVG,2715.82
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Rawalpindi,MAX,2800.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Gujranwala,MIN,2200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Gujranwala,AVG,2200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Gujranwala,MAX,2200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Sialkot,MIN,2400.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Sialkot,AVG,2400.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Sialkot,MAX,2400.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Lahore,MIN,2600.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Lahore,AVG,2628.19
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Lahore,MAX,2700.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Faisalabad,MIN,2200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Faisalabad,AVG,2200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Faisalabad,MAX,2200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Sargodha,MIN,2100.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Sargodha,AVG,2133.2
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,6,Mutton (Average Quality),1 Kg,Sargodha,MAX,2150.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Islamabad,MIN,440.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Islamabad,AVG,448.68
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Islamabad,MAX,460.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Rawalpindi,MIN,435.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Rawalpindi,AVG,449.59
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Rawalpindi,MAX,460.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Gujranwala,MIN,433.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Gujranwala,AVG,433.0
