source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,1064.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,2052.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,370.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,453.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,1497.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,2803.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,3720.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,3003.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,2806.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,7347.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,4074.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,2783.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,7383.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,6,2-Dec,0.0,MT
