source_pdf,year,s_no,items,unit,weight,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,year_total,page,table_index
Table-2-23-24-1.pdf,2023-24,14,Syrups & squashes,000 L,0.0,9018.0,10358.0,9846.0,9018.0,9684.0,11025.0,12173.0,12268.0,8068.0,8331.0,8261.0,7037.0,115087.0,1,2
Table-2-23-24-1.pdf,2023-24,15,Preserved Milk,000 L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Table-2-23-24-1.pdf,2023-24,16,Liquors,000 L,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.5,79.5,79.5,79.5,79.5,954.0,1,2
Table-2-23-24-1.pdf,2023-24,17,Cigarettes,Mil. Nos.,2.07,1573.0,2651.0,2186.0,2918.0,2440.0,3018.0,2044.0,2874.0,3611.0,3103.0,4062.0,2445.0,32925.0,1,2
Table-2-23-24-1.pdf,2023-24,18-19,Yarn,MT,8.88,202030.0,202160.0,202215.0,202295.0,202400.0,202600.0,202850.0,208738.0,209050.0,209364.0,213859.0,219672.0,2477233.0,1,2
Table-2-23-24-1.pdf,2023-24,20-21,Cloth,000 Sq M,7.29,72270.0,72500.0,72530.0,72550.0,72560.0,72570.0,72580.0,72588.0,72600.0,72850.0,72885.0,72950.0,871433.0,1,2
Table-2-23-24-1.pdf,2023-24,22-24,JUTE GOODS (TOTAL),MT,0.33,3063.0,3574.0,3631.0,3408.0,3310.0,3010.0,2997.0,3026.0,4422.0,3447.0,4905.0,2316.0,41109.0,1,2
Table-2-23-24-1.pdf,2023-24,22,Hessian,MT,0.0,833.0,1014.0,944.0,1060.0,1123.0,1272.0,1226.0,1089.0,876.0,577.0,701.0,675.0,11390.0,1,2
Table-2-23-24-1.pdf,2023-24,23,Sacking,MT,0.0,2013.0,2211.0,2324.0,2010.0,1855.0,1446.0,1515.0,1723.0,3310.0,2707.0,3956.0,1381.0,26451.0,1,2
Table-2-23-24-1.pdf,2023-24,24,Others,MT,0.0,217.0,349.0,363.0,338.0,332.0,292.0,256.0,214.0,236.0,163.0,248.0,260.0,3268.0,1,2
Table-2-23-24-1.pdf,2023-24,25,Terry towels & Bath robes,MT,0.59,15069.0,18743.0,18351.0,19649.0,16367.0,18241.0,19975.0,19969.0,19989.0,16701.0,21857.0,17808.0,222719.0,1,2
Table-2-23-24-1.pdf,2023-24,26,Woollen & carpet yarn,MT,0.05,1682.0,1902.0,1726.0,2135.0,2121.0,2084.0,1816.0,1675.0,1799.0,1351.0,1616.0,1505.0,21412.0,1,2
Table-2-23-24-1.pdf,2023-24,27,Woolen & worsted cloth,000 Sq M,0.09,73.0,110.0,122.0,125.0,146.0,150.0,122.0,121.0,120.0,43.0,62.0,68.0,1262.0,1,2
Table-2-23-24-1.pdf,2023-24,28,Knitting wool,MT,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Table-2-23-24-1.pdf,2023-24,29,Woolen blankets,Nos,0.91,1387.0,6383.0,3462.0,4956.0,4357.0,3173.0,3312.0,3312.0,3312.0,1345.0,3400.0,4339.0,42738.0,1,2
Table-2-23-24-1.pdf,2023-24,30,Garments,000' Dozen,6.08,5235.0,6169.0,5702.0,6441.0,6311.0,6324.0,6717.0,6653.0,6325.0,6197.0,7364.0,6315.0,75753.0,1,2
Table-2-23-24-1.pdf,2023-24,31,Upper leather,000 Sq M,0.4,1095.0,1122.0,1174.0,1182.0,1151.0,1133.0,1144.0,1111.0,1038.0,1006.0,1009.0,1086.0,13251.0,1,2
Table-2-23-24-1.pdf,2023-24,32,Sole leather,,0.0,16.0,16.0,16.0,20.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,189.0,1,2
Table-2-23-24-1.pdf,2023-24,33,Footwear,`000' Pairs,0.83,2827.0,2786.0,2842.0,2865.0,2875.0,2902.0,2960.0,2982.0,2990.0,3045.0,3035.0,3043.0,35152.0,1,2
Table-2-23-24-1.pdf,2023-24,34,Plywood,000 Sq Ft,0.09,535.0,567.0,577.0,612.0,638.0,655.0,661.0,576.0,586.0,592.0,589.0,592.0,7180.0,1,2
Table-2-23-24-1.pdf,2023-24,35,Chip Board,MT,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
