source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,84,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,46,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,372,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,803,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,238,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,780,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,450,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,80,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,50,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,10,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,108,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,204,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,156,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,84,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,48,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,999,MT
